    1    -4178.5583205049
    2    -4178.3675892732
    3    -4178.1747682796
    4    -4177.9852544694
    5    -4177.9460495167
    6    -4177.9276011430
    7    -4177.7667705180
    8    -4177.7604849904
    9    -4177.7435248168
   10    -4177.6055960521
   11    -4177.5572806228
   12    -4177.5558393967
   13    -4177.5291253373
   14    -4177.4880406655
   15    -4177.4164330926
   16    -4177.3063394717
   17    -4177.2997904239
   18    -4177.2623878029
   19    -4177.1229896624
   20    -4177.0769299369
   21    -4177.0326548262
   22    -4176.4017128661
   23    -4176.4016499825
   24    -4175.9114331504
   25    -4175.9067468739
   26    -4175.8812454615
   27    -4175.7032464140
   28    -4175.6874680096
   29    -4175.6742463663
   30    -4175.5182410747
   31    -4175.5021019265
   32    -4175.4993932281
   33    -4175.3461896480
   34    -4175.3294416730
   35    -4175.3095443453
   36    -4175.2802761370
   37    -4175.0801412537
   38    -4175.0799856632
   39    -4175.0799070592
   40    -4174.6938689763
   41    -4174.6938100993
   42    -4174.6109120037
   43    -4174.6108485097
   44    -4174.6108384789
   45    -4171.0746507400
   46    -4167.5648453309
   47    -4167.5641213011
   48    -4167.5626861948
   49    -4167.5078888377
   50    -4167.4927246193
